FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,RPRSNTV_TEL_NO,RDNMADR_CD,FCLTY_ROAD_NM_ADDR,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,GID_CD
리복싱 스포츠센터,26,부산,26710,기장군,0517241279,267103140052,"부산광역시 기장군 기장읍 차성로 332 (동부리, 애견사랑)3층",129.2139765,35.2471115,마라559959
박승화 체육스포츠,28,인천,28237,부평구,,282374262095,인천광역시 부평구 광장로4번길 11중보빌딩 7층(부평동),126.7221924,37.4906325,다사312437
꿈트리 아동교육센터,29,광주,29140,서구,0623730528,291403160026,광주광역시 서구 상일로 484층 꿈트리 아동교육센터(쌍촌동),126.8633889,35.1598168,다라420851
꿈트리 운동발달센터,48,경남,48170,진주시,0557617313,481704797364,경상남도 진주시 진주대로960번길 92층 꿈트리 운동발달센터(칠암동),128.0886898,35.1860211,라라535880
남해군 국민체육센터,48,경남,48840,남해군,0558608662,488404829410,경상남도 남해군 남해읍 화전로78번길 26국민체육센터,127.8969067,34.8375691,라라362492
다지기 아동발달센터,41,경기,41270,안산시,024162086,412713190036,경기도 안산시 상록구 샘골로 119우석프라자 2층,126.8627322,37.2945590,다사435219
성남시 한마음복지관,41,경기,41130,성남시,0317259588,411353180041,경기 성남시 분당구 야탑로 227,127.1441876,37.4082763,다사685344
수영구 국민체육센터,26,부산,26500,수영구,0517112340,265004214260,부산광역시 수영구 수영로521번길 77수영구 국민체육센터(광안동),129.1074595,35.1529382,마라464853
화성시 아르딤복지관,41,경기,41590,화성시,03151838900,415904430293,경기도 화성시 향남읍 도이1길 104화성시 아르딤복지관,126.9207201,37.1368707,다사485043
경희대 엑스포태권도,30,대전,30200,유성구,0428637676,302003167043,대전광역시 유성구 엑스포로 469325~14(전민동),127.4045918,36.3982893,다바914223
더밝은 사회서비스센터,41,경기,41390,시흥시,,413903199067,경기도 시흥시 승지로 493층 더밝은사회서비스센터(능곡동),126.8096061,37.3685789,다사388301
용인대 호랑이태권도장,11,서울,11500,강서구,0226473131,115004145300,서울특별시 강서구 등촌로39길 63층 용인대호랑이태권도장(등촌동),126.8620485,37.5455957,다사436497
참좋은 모산합기도교육관,44,충남,44200,아산시,0415347771,442003253028,충청남도 아산시 배방읍 배방로 58-36덕수빌딩 2층 참좋은 모산합기도교육관,127.0508312,36.7716260,다바599638
고양시 덕양행신장애인주간보호센터,41,경기,41280,고양시,0318396100,412813192036,경기도 고양시 덕양구 서정마을2로 13행신종합사회복지관 1층 고양시덕양행신장애인주간보호센터,126.8471263,37.6213823,다사423581
디싸인-전주다트교실,45,전북,45110,전주시,,451114598026,전라북도 전주시 완산구 고사평4길 4-21층(서신동),127.1098332,35.8354792,다마647599
"합기도, 우슈, 킥복싱 대륜관",47,경북,47730,의성군,0548348392,477304745174,경북 의성군 의성읍 문소3길 443층 합기도우슈킥복싱 대륜관,128.6955673,36.3499037,마바072176
원포올(주),42,강원,42150,강릉시,0317758578,421504460896,강원도 강릉시 죽헌길 7강릉원주대학교 산학협력관 904호(지변동),128.8701111,37.7706676,마사206754
비스트&비키니,41,경기,41270,안산시,,412734373072,경기도 안산시 단원구 라성안길 17(원곡동) 5층 비스트&비키니,126.8023444,37.3277604,다사381256
그래비티,48,경남,48330,양산시,0553855571,483303338001,경상남도 양산시 물금읍 가촌로 58그래비티,128.9899762,35.3175942,마마354034
당구데이,45,전북,45710,완주군,022628600,457103016033,전라북도 완주군 봉동읍 봉동로 1603층 당구데이,127.1684183,35.9392558,다마700714
라스트짐,29,광주,29155,남구,0623510517,291554009012,광주광역시 남구 화정로260번길 344층 라스트짐(월산동),126.8869516,35.1451709,다라441834
람보헬스,43,충북,43130,충주시,0438462445,431303238057,충청북도 충주시 천변로 2614층,127.9361384,36.9728192,라바388861
런광화문,11,서울,11110,종로구,07082631157,111104100158,서울특별시 종로구 새문안로3길 30지하1층 런광화문(내수동),126.9733705,37.5727373,다사534527
머슬헬프,46,전남,46790,화순군,0613752486,467903291008,전라남도 화순군 화순읍 만연로 66-114층,126.9913002,35.0616859,다라536741
메이드짐,41,경기,41410,군포시,0313971017,414103200003,경기도 군포시 광정로 787층 메이드짐(산본점),126.9297765,37.3600098,다사495291
뷰티파워,44,충남,44770,서천군,,447704580846,충청남도 서천군 서천읍 충절로41번길 293층,126.6875379,36.0780234,다마268870
서오헬스,44,충남,44810,예산군,0234576052,448103263024,충청남도 예산군 예산읍 역전로 1325층 서오헬스,126.8302575,36.6909748,다바401549
스마트짐,11,서울,11440,마포구,0231510377,114403113019,서울특별시 마포구 월드컵북로 218지층 헬스장(성산동),126.9049975,37.5695050,다사474524
스타칼리,11,서울,11410,서대문구,023796399,114103000008,서울특별시 서대문구 통일로 4721~5층(홍제동),126.9427451,37.5905027,다사508547
스포스쿨,28,인천,28110,중구,07087979752,281103149075,인천광역시 중구 하늘달빛로 70505호 스포스쿨 (영종메디피아)(중산동),126.5595464,37.4858296,다사168433
식스에프,27,대구,27110,중구,,271104223035,대구광역시 중구 남산로1길 29남산애플타워 5층(남산동),128.5811317,35.8576632,라마976628
